Payload_Avionics
ax,ay,az,gx,gy,gz,mpu_temp,bmp_temp,bmp_pres, bmp_alt
0.359,-0.168,11.119,-0.152,0.518,-0.152,24.483,22.600,100960.000,30.265
0.345,-0.043,11.114,-0.030,0.518,-0.244,24.671,22.600,100965.000,30.182
0.359,-0.072,11.085,-0.244,0.396,-7.744,24.624,22.600,100954.000,30.432
0.340,-0.096,11.080,-0.091,0.457,-7.805,24.530,22.600,100962.000,30.516
0.359,-0.067,11.167,7.744,0.335,7.744,24.624,22.600,100960.000,30.182
0.359,-0.144,11.162,-0.244,0.335,-0.274,24.577,22.600,100963.000,30.432
0.335,-0.120,11.147,-0.213,0.488,7.683,24.530,22.600,100968.000,29.931
0.321,-0.091,11.176,-0.305,0.274,-0.244,24.530,22.600,100962.000,30.432
0.421,-0.043,11.186,-0.122,0.396,-0.366,24.671,22.600,100963.000,29.931
0.402,-0.081,11.162,-0.274,0.396,7.774,24.671,22.600,100960.000,29.514
0.364,-0.153,11.171,-0.274,0.305,-0.183,24.577,22.600,100963.000,29.931
0.350,-0.134,11.119,-0.152,0.518,-0.183,24.624,22.600,100965.000,30.432
0.326,-0.067,11.119,-0.091,0.518,-0.183,24.577,22.600,100963.000,30.015
0.330,-0.101,11.200,-7.805,0.518,-0.213,24.577,22.600,100971.000,30.015
0.359,-0.115,11.152,-0.152,0.457,-0.061,24.624,22.600,100969.000,30.516
0.350,-0.077,11.138,-0.183,0.335,-7.805,24.624,22.600,100960.000,30.516
0.287,-0.086,11.190,-0.091,0.366,7.774,24.624,22.500,100957.000,30.265
0.383,-0.096,11.066,-0.061,0.549,-0.152,24.530,22.600,100956.000,29.931
0.345,-0.048,11.100,-0.213,0.579,-0.152,24.624,22.600,100960.000,30.432
0.378,-0.163,11.147,-0.244,0.488,-0.091,24.577,22.600,100963.000,29.681
0.316,-0.110,11.147,-0.061,0.610,-0.183,24.577,22.600,100968.000,30.766
0.378,-0.115,11.186,-0.183,0.488,-0.030,24.671,22.600,100968.000,30.015
0.292,-0.086,11.157,-0.244,0.396,-0.091,24.624,22.600,100960.000,30.432
0.335,-0.124,11.190,-0.030,0.305,-0.122,24.530,22.600,100960.000,30.265
0.311,-0.153,11.176,-0.335,0.518,7.774,24.624,22.600,100959.000,29.681
0.369,-0.124,11.138,-0.244,0.579,-0.183,24.530,22.600,100965.000,30.015
0.369,-0.077,11.186,-0.091,0.396,-0.152,24.624,22.600,100956.000,30.516
0.378,-0.110,11.162,-0.152,0.396,-0.183,24.671,22.600,100959.000,30.516
0.369,-0.105,11.100,-0.183,0.610,0.000,24.577,22.600,100963.000,30.683
0.426,-0.115,11.167,-0.061,0.396,-0.152,24.577,22.600,100966.000,30.516
0.364,-0.120,11.157,-0.152,0.396,-0.335,24.577,22.500,100956.000,30.265
0.297,-0.067,11.114,-0.213,0.427,-0.152,24.671,22.600,100960.000,30.182
0.373,-0.120,11.205,-0.183,0.396,-0.122,24.624,22.600,100956.000,31.267
0.364,-0.124,11.100,-0.091,0.396,7.652,24.530,22.600,100951.000,30.432
0.402,-0.057,11.157,-0.183,0.396,-0.030,24.624,22.600,100957.000,31.017
0.326,-0.105,11.109,-0.091,0.396,-0.152,24.624,22.600,100962.000,30.683
0.273,-0.081,11.229,-0.122,0.396,-0.091,24.624,22.600,100968.000,30.766
0.393,-0.067,11.224,-0.244,0.335,-0.122,24.624,22.600,100956.000,31.518
0.335,-0.129,11.147,-0.244,0.366,-0.122,24.624,22.600,100960.000,30.516
0.412,-0.077,11.085,0.061,0.488,-0.030,24.577,22.600,100953.000,29.764
0.421,-0.067,11.157,-7.805,0.488,7.774,24.483,22.600,100966.000,30.182
0.345,-0.124,11.200,-0.213,0.518,-0.152,24.530,22.600,100960.000,29.931
0.330,-0.096,11.167,-0.122,0.335,-0.122,25.189,22.600,100963.000,30.265
0.302,-0.019,11.056,-0.091,0.549,7.744,24.671,22.600,100957.000,30.182
0.316,-0.096,11.119,-0.152,0.427,-0.061,24.671,22.600,100963.000,30.683
0.397,-0.086,11.171,-0.213,0.366,-0.366,24.624,22.600,100957.000,30.933
0.364,-0.115,11.076,-0.183,0.396,-0.183,24.577,22.600,100968.000,30.432
0.378,-0.201,11.133,-0.061,0.457,-0.030,24.577,22.600,100954.000,30.182
0.326,-0.057,11.133,-0.213,0.488,-0.122,24.671,22.600,100962.000,30.516
0.397,-0.134,11.176,-0.152,0.366,-0.183,24.577,22.600,100959.000,30.683
0.302,-0.182,11.090,-0.244,0.549,-0.183,24.624,22.600,100960.000,30.933
0.350,-0.077,11.100,0.030,0.457,-0.183,24.624,22.600,100965.000,30.182
0.388,-0.062,11.042,-0.152,0.396,-0.152,24.530,22.600,100954.000,30.432
0.345,-0.062,11.143,-0.061,0.274,-0.091,24.530,22.600,100963.000,30.182
0.321,-0.096,11.195,-0.122,0.457,-0.030,24.671,22.600,100968.000,30.516
